TDWG,LEVEL3_NAME,Lon,Lat,Area,Clim.PC1,Clim.PC2,MAT_ANO,MTCQ_ANO,ELE_STD,MAT_STD,realm,wals,glottolog,Human,vas_rich,med_rich,residuals
NCA,North Carolina,-79.38015679,35.54958921,128183.93,-0.435211659,-0.692977428,19.94539795,121.7733946,317.8409032,1.738218461,Nearctic,3,4,16,2944,1063,97.52746866
NCB,Nicobar Is.,93.60166544,7.507164884,1873.83,5.047506731,-1.305692745,222.7513485,213.536391,79.57507544,0.463426689,Indomalaya,3,5,2,1265,890,244.3889388
NCS,North Caucasus,42.86217833,44.34380339,252920.24,-2.579617895,-0.312112166,27.55174933,100.5621053,803.0165509,3.210975814,Palearctic,33,38,50,4119,1201,11.68159172
NDA,North Dakota,-100.4594152,47.44750074,182040.47,-4.297270252,0.523176421,237.5102072,371.4447124,150.7205966,1.010050146,Nearctic,2,3,16,1130,675,55.10740124
NEB,Nebraska,-99.79214759,41.52790501,199869.45,-3.108777342,1.141076726,122.5010659,286.3878157,305.3664012,0.793949383,Nearctic,4,3,16,1463,797,113.6685272
NEP,Nepal,83.938516,28.25300794,147416.22,0.210447817,0.074945876,81.82165227,16.40601354,1748.59929,9.439583635,Indomalaya,31,110,65,6245,3257,1662.663435
NET,Netherlands,5.600984813,52.25357257,35646.76,-1.789998164,-1.47649346,32.36321521,129.0037276,19.37253948,0.350673967,Palearctic,4,10,45,1932,759,-13.67931647
NEV,Nevada,-116.6521158,39.35827474,286386.45,-3.260259211,1.225330889,16.05265225,101.424783,419.507128,3.211026241,Nearctic,2,3,16,2834,917,-27.51674711
NFK,Norfolk Is.,166.1444772,-29.5504624,63.29,1.39277487,-1.482216677,151.547905,125.3581657,58.3833556,0.431953154,Australasia,0,0,0.7,359,91,-382.0116021
NFL,Newfoundland,-56.02938217,48.71653404,111788.94,-2.423791224,-3.270376949,234.5814405,378.1727308,138.8974733,1.115634472,Nearctic,1,1,10,1015,445,-152.9842789
NGA,Nigeria,8.105318389,9.593624582,912337.9,2.136046118,2.767013207,207.60545,185.1082675,222.899198,1.200572489,Afrotropic,73,530,12,4791,2284,966.6608008
NGR,Niger,9.397650573,17.42632346,1185868.7,-0.116467025,4.97732165,204.2016812,147.4533922,157.7496214,1.372515409,Afrotropic,2,13,130,1073,701,91.96630762
NIC,Nicaragua,-85.03470963,12.839712,128613.62,3.691580722,0.321961626,195.2301273,180.9607377,268.1059189,1.479776075,Neotropic,3,8,12,5878,1631,106.5795512
NLA,Netherlands Antilles,-68.69280777,12.18787645,795.31,1.949089185,2.441439276,215.992855,205.7008968,26.26372374,0.294350347,Neotropic,0,0,4.9,484,275,-221.8249932
NNS,Nansei-shoto,126.6998898,25.77340565,2112.04,2.776152895,-2.172009037,170.1486861,103.2414491,83.68981278,0.646376009,Indomalaya,0,5,30,1830,1004,250.7524107
NOR,Norway,14.07512794,64.44787198,319775.94,-2.737564824,-2.920735413,213.9097062,322.5965087,383.2248532,2.755621821,Palearctic,3,6,12,3204,672,-343.004385
NRU,Nauru,166.9300834,-0.522073311,29.05,4.809336522,-1.362018945,228.0846558,225.2789459,7.227335263,0.065410515,Oceania,1,2,3,57,51,-364.478449
NSC,Nova Scotia,-63.30227022,45.14835243,55214.92,-1.911043688,-2.900156138,214.0553196,351.1674684,91.15787858,0.722366272,Nearctic,1,2,10,1116,573,-44.22549894
NSW,New South Wales,147.0187875,-32.18031229,805377.88,-0.946086938,1.206491335,122.1941448,59.32848038,283.0802299,2.58737878,Australasia,16,28,40,5978,591,-952.4711617
NTA,Northern Territory,133.3652138,-19.41428342,1352712.1,0.366314766,3.590548501,195.2584163,137.1903397,182.5383368,1.970412871,Australasia,60,99,40,4075,732,-448.9360946
NUE,Niue,-169.8685868,-19.05190358,253.51,4.074513441,-1.644600983,200.3534135,185.5152494,10.03415486,0.050423912,Oceania,0,1,3,217,137,-308.9595897
NUN,Nunavut,-88.91446901,71.04867651,2062223.88,-7.608156844,-2.752620505,313.7505876,428.2303202,341.966068,3.943632278,Nearctic,1,1,7,620,223,-299.7339628
NWC,New Caledonia,165.6718498,-21.29461419,19283.15,2.822139965,-0.891830623,173.0350293,143.4459491,243.2828215,1.362273657,Australasia,10,33,3,3327,427,-611.4367619
NWG,New Guinea,140.8323211,-5.345952334,819977.45,5.430864361,-3.239785148,184.5356365,173.1135123,810.8076896,4.122749364,Australasia,234,994,40,13443,1654,-1311.606882
NWH,New Hampshire,-71.5792793,43.68999511,24156.76,-2.768782024,-1.935503615,221.7193838,342.0378139,222.9151148,1.477309788,Nearctic,0,0,16,1546,781,81.85643545
NWJ,New Jersey,-74.66262909,40.18920093,19814.24,-1.348729647,-1.175601057,108.8962996,230.2309596,90.68133657,1.113011534,Nearctic,0,3,16,2011,917,129.2706203
NWM,New Mexico,-106.1076877,34.42306424,315178.29,-2.515581375,1.995805787,15.34135562,90.07708528,455.9844129,3.258684846,Nearctic,11,12,16,3476,1304,237.1776759
NWT,Northwest Territories,-118.9823435,66.33106742,1336444.68,-6.679409874,-1.691095248,248.3195279,359.6028109,337.9285725,4.13032092,Nearctic,3,2,7,1040,410,-192.7469571
NWY,New York,-75.69458709,42.99492034,136791.98,-2.514351649,-1.504362643,200.9349868,309.5981191,200.5749086,1.588024078,Nearctic,7,8,16,2448,1082,211.0190048
NZN,New Zealand North,175.7272178,-38.57756133,114538.37,0.280971427,-2.514737889,84.48742093,39.85389839,280.4524943,1.772886069,Australasia,1,2,1,1495,135,-554.427701
NZS,New Zealand South,170.4796022,-44.02210597,152609.86,0.002637479,-3.386930764,47.75818906,1.966675419,484.2778682,2.319587853,Australasia,1,0,1,1927,107,-664.7267808
OFS,Free State,26.86433218,-28.61014393,130173.92,-1.434247797,1.866481413,102.4361017,39.91786833,177.1409331,1.275612511,Afrotropic,1,3,150,2607,1075,173.7283712
OGA,Ogasawara-shoto,142.1178032,27.00808255,76.68,1.347837777,-0.426103098,180.4955292,134.194046,83.55207957,0.355088265,Oceania,0,1,0.2,349,166,-305.1065308
OHI,Ohio,-82.70728238,40.41552797,116274.11,-2.058650467,-0.750389929,132.0171969,262.46912,57.33236233,0.778912087,Nearctic,1,1,16,2015,976,187.5085918
OKL,Oklahoma,-97.50981445,35.58437196,181132.66,-1.617538568,0.97288538,15.90417833,182.0908403,233.5953728,0.995162504,Nearctic,0,5,16,2294,951,109.3571027
OMA,Oman,56.11008523,20.60235556,309738.54,-0.062493624,4.191659189,206.1929808,142.2405101,263.0282317,1.52279073,Palearctic,3,7,130,1315,654,-1.136417679
ONT,Ontario,-85.83256685,50.07309622,1072460.51,-4.48158258,-1.382637449,310.497012,442.4556004,126.5436454,3.288702458,Nearctic,4,7,10,2210,1026,200.3597016
ORE,Oregon,-120.5408757,43.94031794,250842.64,-2.273882184,0.009463117,34.00218364,106.8882996,533.452547,2.24798076,Nearctic,14,23,16,3284,1050,19.7550447
PAK,Pakistan,68.78919432,29.35662228,796103.01,-1.008521913,3.717678781,158.3488085,70.66082702,883.904922,5.661490017,Indomalaya,11,48,65,4574,2254,978.0008479
PAL,Palestine,36.37619652,31.3079181,116277.07,-1.701920623,2.878875747,120.5817155,50.41176969,336.9644847,1.468606718,Palearctic,6,18,90,2789,960,24.05607371
PAN,Panama,-80.10899702,8.505429137,74842.96,4.580215487,-0.598072744,194.9356649,187.3383244,411.0140304,2.400346376,Neotropic,4,9,12,10116,1699,-632.7896628
PAR,Paraguay,-58.39095073,-23.23612805,399768.73,1.125408153,1.540974151,167.9111148,126.1094262,84.32632269,1.451624473,Neotropic,8,21,10,5327,1507,87.5489795
PEI,Prince Edward Is.,-63.24493637,46.39620383,5979.59,-2.709818331,-2.68710569,225.4637218,370.4695249,21.34180481,0.253528036,Nearctic,0,0,10,704,429,-109.7365617
PEN,Pennsylvania,-77.83950118,40.89843684,119165.43,-2.031945262,-1.203329123,148.1075817,265.5273287,162.280817,1.323579542,Nearctic,1,2,16,2204,1042,217.5027444
PER,Peru,-74.37540458,-9.163772192,1296132.98,1.960625869,-0.270221289,137.5902579,123.6312301,1631.365889,7.990558038,Neotropic,41,103,12,20704,2524,-1824.879148
PHI,Philippines,122.873632,11.74740395,295849.09,4.563213071,-0.864177838,197.1108113,183.3415435,384.0283506,1.986862481,Indomalaya,34,169,40,9335,2317,133.9964052
PHX,Phoenix Is.,-171.7279731,-3.419467314,91.07,2.859630207,1.636810368,234.265976,231.9166718,1.847453907,0.10243363,Oceania,0,0,0,29,20,-390.1442494
PIT,Pitcairn Is.,-128.44279,-24.505797,53.76,2.145916326,-0.789890214,180.4869741,160.2187144,29.04961937,0.150899832,Oceania,0,1,0.9,118,63,-364.0993839
POL,Poland,19.4009187,52.12472508,310490.85,-2.525326688,-0.642543866,100.0368608,244.6397641,127.5085726,0.669452535,Palearctic,5,8,40,2966,992,22.33631182
POR,Portugal,-7.962367688,39.69200296,88508.29,-0.703429284,0.496277177,95.78943073,54.6989891,263.0157068,1.741251768,Palearctic,2,6,45,2696,934,15.77323673
PRM,Primorye,134.7137746,45.16706365,164565.58,-4.541758894,-0.49143219,86.72821716,258.1265619,302.9742965,2.247761157,Palearctic,0,1,30,2122,1011,202.124329
PUE,Puerto Rico,-66.46614558,18.22091539,9275.31,2.910535173,0.140845944,190.8070802,175.1945011,226.302602,1.539632255,Neotropic,0,2,7,2393,842,-18.50310308
QLD,Queensland,144.5481933,-22.57373244,1733260.66,0.264344807,2.751265306,175.0560429,115.6668789,160.3747985,2.307911568,Australasia,43,134,40,8286,1231,-752.1616161
QUE,Québec,-71.75499676,53.38114914,1507114.33,-4.798921647,-2.25135049,337.297641,468.2393764,172.1730994,3.191264806,Nearctic,7,9,10,1972,865,84.70039836
REU,Réunion,55.53821274,-21.12162946,2652.28,1.997474058,-0.991118284,150.1674478,127.4091511,645.6082197,3.549979013,Afrotropic,0,1,0.3,992,340,-253.6026149
RHO,Rhode Is.,-71.55994566,41.68389685,2723.21,-1.714271753,-1.97139803,150.0049001,263.8169388,62.5516303,0.501049769,Nearctic,0,0,12,1344,714,53.33887557
ROD,Rodrigues,63.41351669,-19.71779025,116.83,2.151507865,0.384328775,192.7260132,173.0837677,91.1097511,0.459480392,Afrotropic,0,0,0.3,207,124,-320.0545184
ROM,Romania,24.96918232,45.84359796,236801.41,-2.504987531,-0.329317465,2.280174234,121.8048766,385.9314032,2.353148735,Palearctic,2,4,45,3580,1242,155.3649344
RUC,Central European Russia,39.80245698,54.88373842,849032.17,-3.47557609,-0.909825868,93.97631219,283.5934015,46.12101779,1.023776698,Palearctic,5,5,30,2074,890,90.26867117
RUE,East European Russia,53.73073876,56.12331852,732329.88,-4.121117791,-0.846112894,89.37210783,283.1588728,127.4379626,1.441005603,Palearctic,6,8,30,2544,981,91.73032039
RUN,North European Russia,45.85434037,64.50418421,1354617.54,-4.454352399,-1.673726959,207.6270643,375.7851419,95.81347938,2.472963936,Palearctic,5,8,12,1909,650,-118.2976525
RUS,South European Russia,44.67469326,48.91779832,435643.11,-3.43182029,0.14208928,17.32263464,207.7224588,71.17021526,1.671024038,Palearctic,3,2,40,2172,907,88.5989725
