"TDWG","Bio1","Bio2","Bio3","Bio4","Bio5","Bio6","Bio7","Bio8","Bio9","Bio10","Bio11","Bio12","Bio13","Bio14","Bio15","Bio16","Bio17","Bio18","Bio19"
"ABT",0.848841746591592,14.3807808431032,-14.0110575530155,462.184450879929,82.3201158387169,17.5420657904507,57.2443705607144,213.546224103364,59.0914086284993,212.303928120591,64.5944159798025,12.3613146937503,28.5486074659937,1160.96606445766,22.1326282835046,-21.6807589003014,43.8133871789905,14.1020929890928,-8.23627930098754
"AFG",11.9116648703265,23.5091736040514,-0.223190667664695,301.096305336736,67.7118606457339,1.52024852990125,93.751609602475,173.560856540553,8.44247198491068,12.3380672362144,126.990902030401,14.3370777426609,35.5813768438265,956.758099283294,32.4864165088544,-7.66972206725558,40.1561385575534,3.42324011713246,21.9445368660647
"AGE",17.6882138124722,23.8358198023616,11.4823542226616,898.142710538131,121.125328715284,30.524533384645,44.1436614779204,324.414918863447,104.306971971009,301.720223205696,105.584311461741,13.0798063330803,48.8466767793163,500.486680432637,31.6066843972014,4.79820906413854,26.8084753259274,22.5154983128909,11.5809941261531
"AGS",9.77738280175007,15.9765136681397,3.45734630761978,298.947770502027,42.1545837231057,12.9910352354225,32.8700799386673,112.101652634861,45.58395696913,55.601886498285,96.4801216089804,12.2038043919924,47.6805376255665,509.713882562859,23.7633881421895,-1.75146974845067,25.5148578902662,7.0758328936743,11.3184617042771
"AGW",14.6326777281414,20.1653480911042,8.52756128120619,420.049738892218,78.9333105042377,5.76765687869189,78.1781592967933,214.774848043832,22.3432925263248,198.9475216163,34.6219501754987,14.2899273741012,52.6972654228514,475.718146493404,27.83701344566,0.468698226859003,27.3683152247369,18.6748714041663,10.1166647817751
"ALA",17.0251119819101,25.7369809329574,7.8344225144974,1458.88102893891,166.916934619507,78.8467309753483,20.0916178346575,440.530546623794,279.557877813505,350.814576634512,406.440514469453,13.0568069399745,41.103895888579,726.834765664251,32.5367531873533,0.733820246920174,31.8029329579998,11.4594870186056,20.9037123518614
"ALB",11.5654484055161,19.8803576905263,3.73066284681899,1119.43665158371,153.377828054299,39.920814479638,38.5966234164001,417.273755656109,136.678733031674,136.692307692308,360.070135746606,10.1979303198163,35.7299938978653,664.53739411367,27.2054505844461,-1.33937490137286,28.544825536633,6.46577877070906,19.8778542954458
"ALD",26.5035705566406,27.5767860412598,24.9654750823975,979,183,10,79.7463912963867,465,41,465,69,6.43095207214355,69.2031631469727,112.358283996582,30.7785720825195,21.4857139587402,9.2928581237793,27.5767860412598,25.2982139587402
"ALG",23.133524313509,32.8064838569838,13.1698970883965,80.5013984649408,13.254975933394,1.0133667230389,53.6647599360964,33.4279953167686,6.2542604397034,9.37013789514765,26.1349681280083,14.2841262849639,39.5662000478593,799.863872258611,41.2919379110623,5.09721958701226,36.1947183328005,20.4955080002294,28.1858349889808
"ALT",0.440592316011572,15.5335474750575,-15.151424856843,477.44379532635,73.9619258662369,14.8763094278807,49.0508317985811,196.73106365834,53.1682111200645,196.35414987913,65.2963336019339,11.4630435114422,25.7662628375168,1261.30491107015,23.3677113088843,-21.2791172384159,44.6468285622854,15.3538341688879,-12.2549633981719
"ALU",3.34260235355876,8.56120978528437,-0.538897612875815,1280.13924050633,163.911392405063,56.9831223628692,31.4047072205362,447.611814345992,195.10970464135,262.012658227848,331.936708860759,4.30687933933886,28.9380392163112,375.202182946829,11.9961132419763,-2.82868627719738,14.824799517539,2.7839414163921,6.48772346017733
"AMU",-4.34281576233893,15.8814013228804,-26.2360362063889,559.242863229655,128.293424229513,5.28745916773186,92.7669341460224,330.214600198835,20.7540122141741,330.154097429342,20.9688964635705,13.7316560470284,23.1480555375214,1722.97342154296,24.507199975615,-34.7914887008266,59.2986886693984,15.8431379607821,-24.4829461083225
"AND",26.6530793507894,27.695275320523,25.7159275663072,2795.60869565217,480.63768115942,12.9275362318841,76.749987118486,1312.94202898551,79.0289855072464,840.608695652174,158.057971014493,6.17752223775007,61.7822435351386,79.8826587511146,31.9256721994151,21.9035096652266,10.0221625341885,26.6653969529746,26.4029576674752
"ANG",21.5782533997677,23.2752975953392,18.7865513081099,1026.10016840687,202.37433479286,0.527113506231054,94.8757283507232,524.597844392051,6.03758841360728,311.916268103739,10.3775008420344,13.3074185447526,63.7434048681879,194.012485739662,30.8714133370882,9.76348012222028,21.1079332214849,22.7131788239009,18.8761072404861
"ANT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARI",15.4906057769549,25.372964253641,6.15222559590051,323.973045167557,52.1733851384167,6.57770762506071,49.5417727307824,129.314473045168,29.6393880524526,105.763477416221,84.6245750364255,16.544603627072,44.5643568126943,789.477316309376,35.2069096567562,-1.97265565856315,37.1795653282525,22.7664731974529,18.5778437752698
